tanggal,periode_data,pm10,so2,co,o3,no2,max,critical,categori,stasiun,bulan,month,minggu,day_of_week
2010-01-01,2010-01-01,60.0,4.0,73.0,27.0,14.0,73.0,CO,SEDANG,DKI1 Bunderan HI,2010-01,1.0,2009-12-28/2010-01-03,4.0
2010-01-02,2010-01-01,32.0,2.0,16.0,33.0,9.0,33.0,O3,BAIK,DKI1 Bunderan HI,2010-01,1.0,2009-12-28/2010-01-03,5.0
2010-01-03,2010-01-01,27.0,2.0,19.0,20.0,9.0,27.0,PM10,BAIK,DKI1 Bunderan HI,2010-01,1.0,2009-12-28/2010-01-03,6.0
2010-01-04,2010-01-01,22.0,2.0,16.0,15.0,6.0,22.0,PM10,BAIK,DKI1 Bunderan HI,2010-01,1.0,2010-01-04/2010-01-10,0.0
2010-01-05,2010-01-01,25.0,2.0,17.0,15.0,8.0,25.0,PM10,BAIK,DKI1 Bunderan HI,2010-01,1.0,2010-01-04/2010-01-10,1.0
2010-01-06,2010-01-01,30.0,3.0,22.0,19.0,11.0,30.0,PM10,BAIK,DKI1 Bunderan HI,2010-01,1.0,2010-01-04/2010-01-10,2.0
2010-01-07,2010-01-01,41.0,4.0,24.0,27.0,13.0,41.0,PM10,BAIK,DKI1 Bunderan HI,2010-01,1.0,2010-01-04/2010-01-10,3.0
2010-01-08,2010-01-01,64.0,8.0,51.0,19.0,15.0,64.0,PM10,SEDANG,DKI1 Bunderan HI,2010-01,1.0,2010-01-04/2010-01-10,4.0
2010-01-09,2010-01-01,55.0,5.0,39.0,23.0,16.0,55.0,PM10,SEDANG,DKI1 Bunderan HI,2010-01,1.0,2010-01-04/2010-01-10,5.0
2010-01-10,2010-01-01,34.0,5.0,23.0,26.0,12.0,34.0,PM10,BAIK,DKI1 Bunderan HI,2010-01,1.0,2010-01-04/2010-01-10,6.0
2010-01-11,2010-01-01,55.0,10.0,32.0,23.0,16.0,55.0,PM10,SEDANG,DKI1 Bunderan HI,2010-01,1.0,2010-01-11/2010-01-17,0.0
2010-01-12,2010-01-01,45.0,4.0,33.0,9.0,17.0,45.0,PM10,BAIK,DKI1 Bunderan HI,2010-01,1.0,2010-01-11/2010-01-17,1.0
2010-01-13,2010-01-01,28.0,5.0,29.0,10.0,12.0,29.0,CO,BAIK,DKI1 Bunderan HI,2010-01,1.0,2010-01-11/2010-01-17,2.0
2010-01-14,2010-01-01,38.0,6.0,28.0,15.0,10.0,38.0,PM10,BAIK,DKI1 Bunderan HI,2010-01,1.0,2010-01-11/2010-01-17,3.0
2010-01-15,2010-01-01,35.0,5.0,33.0,17.0,17.0,35.0,PM10,BAIK,DKI1 Bunderan HI,2010-01,1.0,2010-01-11/2010-01-17,4.0
2010-01-16,2010-01-01,54.0,5.0,38.0,17.0,18.0,54.0,PM10,SEDANG,DKI1 Bunderan HI,2010-01,1.0,2010-01-11/2010-01-17,5.0
2010-01-17,2010-01-01,44.0,4.0,28.0,22.0,14.0,44.0,PM10,BAIK,DKI1 Bunderan HI,2010-01,1.0,2010-01-11/2010-01-17,6.0
2010-01-18,2010-01-01,38.0,4.0,29.0,24.0,15.0,38.0,PM10,BAIK,DKI1 Bunderan HI,2010-01,1.0,2010-01-18/2010-01-24,0.0
2010-01-19,2010-01-01,40.0,3.0,43.0,23.0,23.0,43.0,CO,BAIK,DKI1 Bunderan HI,2010-01,1.0,2010-01-18/2010-01-24,1.0
2010-01-20,2010-01-01,61.0,5.0,63.0,16.0,17.0,63.0,CO,SEDANG,DKI1 Bunderan HI,2010-01,1.0,2010-01-18/2010-01-24,2.0
2010-01-21,2010-01-01,36.0,4.0,27.0,23.0,13.0,36.0,PM10,BAIK,DKI1 Bunderan HI,2010-01,1.0,2010-01-18/2010-01-24,3.0
2010-01-22,2010-01-01,51.0,4.0,45.0,14.0,13.0,51.0,PM10,SEDANG,DKI1 Bunderan HI,2010-01,1.0,2010-01-18/2010-01-24,4.0
2010-01-23,2010-01-01,35.0,3.0,30.0,20.0,14.0,35.0,PM10,BAIK,DKI1 Bunderan HI,2010-01,1.0,2010-01-18/2010-01-24,5.0
2010-01-24,2010-01-01,56.0,6.0,46.0,30.0,14.0,56.0,PM10,SEDANG,DKI1 Bunderan HI,2010-01,1.0,2010-01-18/2010-01-24,6.0
2010-01-25,2010-01-01,59.0,4.0,38.0,18.0,15.0,59.0,PM10,SEDANG,DKI1 Bunderan HI,2010-01,1.0,2010-01-25/2010-01-31,0.0
2010-01-26,2010-01-01,43.0,5.0,42.0,19.0,24.0,43.0,PM10,BAIK,DKI1 Bunderan HI,2010-01,1.0,2010-01-25/2010-01-31,1.0
2010-01-27,2010-01-01,54.0,8.0,38.0,40.0,16.0,54.0,PM10,SEDANG,DKI1 Bunderan HI,2010-01,1.0,2010-01-25/2010-01-31,2.0
2010-01-28,2010-01-01,72.0,8.0,55.0,20.0,17.0,72.0,PM10,SEDANG,DKI1 Bunderan HI,2010-01,1.0,2010-01-25/2010-01-31,3.0
2010-01-29,2010-01-01,51.0,8.0,24.0,19.0,11.0,51.0,PM10,SEDANG,DKI1 Bunderan HI,2010-01,1.0,2010-01-25/2010-01-31,4.0
2010-01-30,2010-01-01,47.0,8.0,32.0,19.0,12.0,47.0,PM10,BAIK,DKI1 Bunderan HI,2010-01,1.0,2010-01-25/2010-01-31,5.0
2010-01-31,2010-01-01,32.0,5.0,25.0,26.0,10.0,32.0,PM10,BAIK,DKI1 Bunderan HI,2010-01,1.0,2010-01-25/2010-01-31,6.0
2010-02-01,2010-02-01,41.0,7.0,30.0,17.0,13.0,41.0,PM10,BAIK,DKI1 Bunderan HI,2010-02,2.0,2010-02-01/2010-02-07,0.0
2010-02-02,2010-02-01,50.0,4.0,30.0,23.0,12.0,50.0,PM10,BAIK,DKI1 Bunderan HI,2010-02,2.0,2010-02-01/2010-02-07,1.0
2010-02-03,2010-02-01,49.0,7.0,33.0,57.0,23.0,57.0,O3,SEDANG,DKI1 Bunderan HI,2010-02,2.0,2010-02-01/2010-02-07,2.0
2010-02-04,2010-02-01,59.0,9.0,38.0,75.0,26.0,75.0,O3,SEDANG,DKI1 Bunderan HI,2010-02,2.0,2010-02-01/2010-02-07,3.0
2010-02-05,2010-02-01,63.0,7.0,39.0,41.0,23.0,63.0,PM10,SEDANG,DKI1 Bunderan HI,2010-02,2.0,2010-02-01/2010-02-07,4.0
2010-02-06,2010-02-01,65.0,8.0,59.0,24.0,15.0,65.0,PM10,SEDANG,DKI1 Bunderan HI,2010-02,2.0,2010-02-01/2010-02-07,5.0
2010-02-07,2010-02-01,60.0,10.0,45.0,47.0,17.0,60.0,PM10,SEDANG,DKI1 Bunderan HI,2010-02,2.0,2010-02-01/2010-02-07,6.0
2010-02-08,2010-02-01,46.0,5.0,31.0,42.0,17.0,46.0,PM10,BAIK,DKI1 Bunderan HI,2010-02,2.0,2010-02-08/2010-02-14,0.0
2010-02-09,2010-02-01,52.0,7.0,30.0,34.0,16.0,52.0,PM10,SEDANG,DKI1 Bunderan HI,2010-02,2.0,2010-02-08/2010-02-14,1.0
2010-02-10,2010-02-01,50.0,8.0,31.0,39.0,14.0,50.0,PM10,BAIK,DKI1 Bunderan HI,2010-02,2.0,2010-02-08/2010-02-14,2.0
2010-02-11,2010-02-01,47.0,5.0,27.0,26.0,14.0,47.0,PM10,BAIK,DKI1 Bunderan HI,2010-02,2.0,2010-02-08/2010-02-14,3.0
2010-02-12,2010-02-01,56.0,6.0,33.0,45.0,20.0,56.0,PM10,SEDANG,DKI1 Bunderan HI,2010-02,2.0,2010-02-08/2010-02-14,4.0
2010-02-13,2010-02-01,55.0,6.0,39.0,14.0,14.0,55.0,PM10,SEDANG,DKI1 Bunderan HI,2010-02,2.0,2010-02-08/2010-02-14,5.0
2010-02-14,2010-02-01,55.0,6.0,61.0,16.0,13.0,61.0,CO,SEDANG,DKI1 Bunderan HI,2010-02,2.0,2010-02-08/2010-02-14,6.0
2010-02-15,2010-02-01,40.0,4.0,30.0,63.0,22.0,63.0,O3,SEDANG,DKI1 Bunderan HI,2010-02,2.0,2010-02-15/2010-02-21,0.0
2010-02-16,2010-02-01,56.0,4.0,43.0,25.0,20.0,56.0,PM10,SEDANG,DKI1 Bunderan HI,2010-02,2.0,2010-02-15/2010-02-21,1.0
2010-02-17,2010-02-01,52.0,4.0,34.0,30.0,17.0,52.0,PM10,SEDANG,DKI1 Bunderan HI,2010-02,2.0,2010-02-15/2010-02-21,2.0
2010-02-18,2010-02-01,41.0,5.0,26.0,14.0,10.0,41.0,PM10,BAIK,DKI1 Bunderan HI,2010-02,2.0,2010-02-15/2010-02-21,3.0
2010-02-19,2010-02-01,37.0,4.0,43.0,17.0,17.0,43.0,CO,BAIK,DKI1 Bunderan HI,2010-02,2.0,2010-02-15/2010-02-21,4.0
2010-02-20,2010-02-01,52.0,3.0,64.0,18.0,12.0,64.0,CO,SEDANG,DKI1 Bunderan HI,2010-02,2.0,2010-02-15/2010-02-21,5.0
