tanggal,periode_data,pm10,pm25,so2,co,o3,no2,max,critical,categori,stasiun,bulan,month,day_of_week,year
2019-01-09,2019-01-01,61.0,74.70001601291128,22.0,28.0,109.0,21.0,140.5,O3,TIDAK SEHAT,DKI1 Bunderan HI,2019-01,1,2,2019
2019-01-10,2019-01-01,59.0,74.70001601291128,22.0,27.0,109.0,18.0,128.0,O3,TIDAK SEHAT,DKI1 Bunderan HI,2019-01,1,3,2019
2019-01-14,2019-01-01,65.0,74.70001601291128,25.0,31.5,99.0,18.0,99.0,O3,SEDANG,DKI1 Bunderan HI,2019-01,1,0,2019
2019-01-17,2019-01-01,56.0,74.70001601291128,23.0,23.0,101.0,14.0,101.0,O3,TIDAK SEHAT,DKI1 Bunderan HI,2019-01,1,3,2019
2019-01-18,2019-01-01,27.0,74.70001601291128,23.0,16.0,103.0,13.0,103.0,O3,TIDAK SEHAT,DKI1 Bunderan HI,2019-01,1,4,2019
2019-01-19,2019-01-01,44.0,74.70001601291128,24.0,27.0,109.0,13.0,127.0,O3,TIDAK SEHAT,DKI1 Bunderan HI,2019-01,1,5,2019
2019-01-26,2019-01-01,63.0,74.70001601291128,22.0,31.5,109.0,17.0,118.0,O3,TIDAK SEHAT,DKI1 Bunderan HI,2019-01,1,5,2019
2019-01-30,2019-01-01,47.0,74.70001601291128,21.0,31.5,73.0,16.0,73.0,O3,SEDANG,DKI1 Bunderan HI,2019-01,1,2,2019
2019-02-01,2019-02-01,61.0,74.70001601291128,20.0,31.5,93.0,12.0,93.0,O3,SEDANG,DKI1 Bunderan HI,2019-02,2,4,2019
2019-02-08,2019-02-01,63.0,74.70001601291128,44.0,23.0,109.0,18.0,132.0,O3,TIDAK SEHAT,DKI1 Bunderan HI,2019-02,2,4,2019
2019-02-09,2019-02-01,59.0,74.70001601291128,24.0,25.0,109.0,22.0,140.5,O3,TIDAK SEHAT,DKI1 Bunderan HI,2019-02,2,5,2019
2019-07-07,2019-07-01,63.0,74.70001601291128,26.0,12.0,58.0,7.0,63.0,PM10,SEDANG,DKI1 Bunderan HI,2019-07,7,6,2019
2020-01-01,2020-01-01,30.0,74.70001601291128,20.0,10.0,32.0,9.0,32.0,O3,BAIK,DKI1 Bunderan HI,2020-01,1,2,2020
2020-01-02,2020-01-01,27.0,74.70001601291128,22.0,12.0,29.0,8.0,29.0,O3,BAIK,DKI1 Bunderan HI,2020-01,1,3,2020
2020-01-03,2020-01-01,39.0,74.70001601291128,22.0,14.0,32.0,10.0,39.0,PM10,BAIK,DKI1 Bunderan HI,2020-01,1,4,2020
2020-01-04,2020-01-01,34.0,74.70001601291128,22.0,14.0,38.0,10.0,38.0,O3,BAIK,DKI1 Bunderan HI,2020-01,1,5,2020
2020-01-05,2020-01-01,35.0,74.70001601291128,22.0,12.0,31.0,9.0,35.0,PM10,BAIK,DKI1 Bunderan HI,2020-01,1,6,2020
2020-01-06,2020-01-01,46.0,74.70001601291128,23.0,16.0,32.0,9.0,46.0,PM10,BAIK,DKI1 Bunderan HI,2020-01,1,0,2020
2020-01-07,2020-01-01,37.0,74.70001601291128,23.0,26.0,33.0,11.0,37.0,PM10,BAIK,DKI1 Bunderan HI,2020-01,1,1,2020
2020-01-08,2020-01-01,41.0,74.70001601291128,26.0,20.0,30.0,11.0,41.0,PM10,BAIK,DKI1 Bunderan HI,2020-01,1,2,2020
2020-01-09,2020-01-01,52.0,74.70001601291128,23.0,29.0,24.0,12.0,52.0,PM10,SEDANG,DKI1 Bunderan HI,2020-01,1,3,2020
2020-01-10,2020-01-01,24.0,74.70001601291128,24.0,18.0,25.0,8.0,25.0,O3,BAIK,DKI1 Bunderan HI,2020-01,1,4,2020
2020-01-11,2020-01-01,34.0,74.70001601291128,31.0,25.0,23.0,8.0,34.0,PM10,BAIK,DKI1 Bunderan HI,2020-01,1,5,2020
2020-01-11,2020-11-01,49.0,74.70001601291128,67.0,18.0,10.0,40.0,11.0,PM2.5,SEDANG,DKI1 Bunderan HI,2020-01,1,5,2020
2020-01-12,2020-01-01,27.0,74.70001601291128,23.0,9.0,33.0,4.0,33.0,O3,BAIK,DKI1 Bunderan HI,2020-01,1,6,2020
2020-01-13,2020-01-01,33.0,74.70001601291128,26.0,12.0,36.0,8.0,36.0,O3,BAIK,DKI1 Bunderan HI,2020-01,1,0,2020
2020-01-14,2020-01-01,34.0,74.70001601291128,28.0,13.0,27.0,7.0,34.0,PM10,BAIK,DKI1 Bunderan HI,2020-01,1,1,2020
2020-01-15,2020-01-01,29.0,74.70001601291128,22.0,13.0,36.0,8.0,36.0,O3,BAIK,DKI1 Bunderan HI,2020-01,1,2,2020
2020-01-16,2020-01-01,52.0,74.70001601291128,60.0,19.0,30.0,8.0,60.0,SO2,SEDANG,DKI1 Bunderan HI,2020-01,1,3,2020
2020-01-17,2020-01-01,51.0,74.70001601291128,34.0,21.0,74.0,20.0,74.0,O3,SEDANG,DKI1 Bunderan HI,2020-01,1,4,2020
2020-01-18,2020-01-01,37.0,74.70001601291128,29.0,14.0,31.0,6.0,37.0,PM10,BAIK,DKI1 Bunderan HI,2020-01,1,5,2020
2020-01-19,2020-01-01,61.0,74.70001601291128,34.0,31.5,58.0,15.0,61.0,PM10,SEDANG,DKI1 Bunderan HI,2020-01,1,6,2020
2020-01-20,2020-01-01,47.0,74.70001601291128,30.0,15.0,33.0,9.0,47.0,PM10,BAIK,DKI1 Bunderan HI,2020-01,1,0,2020
2020-01-21,2020-01-01,30.0,74.70001601291128,36.0,14.0,26.0,9.0,36.0,SO2,BAIK,DKI1 Bunderan HI,2020-01,1,1,2020
2020-01-22,2020-01-01,40.0,74.70001601291128,36.0,18.0,28.0,15.0,40.0,PM10,BAIK,DKI1 Bunderan HI,2020-01,1,2,2020
2020-01-23,2020-01-01,41.0,74.70001601291128,32.43,27.0,19.0,18.0,41.0,PM10,BAIK,DKI1 Bunderan HI,2020-01,1,3,2020
2020-01-24,2020-01-01,44.0,74.70001601291128,28.86,24.0,16.0,13.0,44.0,PM10,BAIK,DKI1 Bunderan HI,2020-01,1,4,2020
2020-01-25,2020-01-01,27.0,74.70001601291128,25.29,31.0,27.0,12.0,31.0,CO,BAIK,DKI1 Bunderan HI,2020-01,1,5,2020
